case,gravity,amplitude,qm_ratio_ucg_final,qm_std_ucg_final
E_A05,Earth,0.5,0.2921771403489036,0.0389308552885473
E_A10,Earth,1.0,0.5000000000000003,0.0727759749740257
E_A20,Earth,2.0,1.1443185622084853,0.23256028401290263
M_A05,Moon,0.5,0.08413839062799215,0.08331585330125814
M_A10,Moon,1.0,0.16390036716369089,0.13737440601682396
M_A20,Moon,2.0,0.5083195165981504,0.31177939711520863
